Transaction_ID,User_ID,Amount,service,Service_Type,Transaction_Status,Date
T0000097,PP0010645,3185.88,Loan payment,UPI,Failed,2023-09-03
T0000098,PP0008173,1642.62,Recharge Bill,Bank Transfer,Pending,2024-12-18
T0000099,PP0053055,2789.73,Money Transfer,Scan & Pay,Pending,2024-05-22
T0000100,PP0050444,9628.35,Recharge Bill,Scan & Pay,Failed,2025-01-18
T0000101,PP0007810,7879.34,Recharge Bill,Bank Transfer,Failed,2024-07-01
T0000102,PP0057489,2063.32,Insurance Payment,UPI,Failed,2026-03-09
T0000103,PP0067535,7000.13,Loan payment,UPI,Success,2025-11-20
T0000104,PP0074928,3394.65,Insurance Payment,Bank Transfer,Failed,2026-01-30
T0000105,PP0059070,6898.44,Insurance Payment,Scan & Pay,Success,2024-05-25
T0000106,PP0025327,7034.32,Money Transfer,Scan & Pay,Success,2024-08-18
T0000107,PP0012193,6371.11,Loan payment,Scan & Pay,Failed,2026-04-18
T0000108,PP0023907,91.43,Money Transfer,UPI,Failed,2025-07-11
T0000109,PP0031274,6250.96,Insurance Payment,Bank Transfer,Success,2024-06-02
T0000110,PP0028719,6520.72,Insurance Payment,UPI,Success,2024-06-16
T0000111,PP0055894,374.5,Recharge Bill,Scan & Pay,Success,2025-12-19
T0000112,PP0053220,3158.15,Money Transfer,Scan & Pay,Success,2025-08-02
T0000113,PP0101631,4885.51,Insurance Payment,Bank Transfer,Pending,2025-03-05
T0000114,PP0014413,8030.69,Insurance Payment,UPI,Pending,2024-01-23
T0000115,PP0041350,6516.61,Loan payment,Scan & Pay,Pending,2025-06-19
T0000116,PP0057766,5477.65,Insurance Payment,Scan & Pay,Success,2025-09-01
T0000117,PP0021821,2236.68,Recharge Bill,Bank Transfer,Failed,2023-10-13
T0000118,PP0033703,530.27,Recharge Bill,Scan & Pay,Success,2023-10-19
T0000119,PP0007787,6880.34,Insurance Payment,UPI,Success,2025-11-17
T0000120,PP0096214,5855.35,Money Transfer,Scan & Pay,Failed,2025-02-01
T0000121,PP0089386,6399.56,Recharge Bill,Scan & Pay,Success,2023-11-24
T0000122,PP0001845,6290.25,Loan payment,Bank Transfer,Pending,2025-06-16
T0000123,PP0013616,9440.85,Money Transfer,UPI,Failed,2024-06-22
T0000124,PP0078013,971.3,Insurance Payment,UPI,Pending,2024-08-02
T0000125,PP0032823,4930.3,Money Transfer,Bank Transfer,Failed,2026-06-19
T0000126,PP0048088,9863.7,Money Transfer,Bank Transfer,Failed,2024-08-13
T0000127,PP0091196,5131.36,Insurance Payment,Scan & Pay,Success,2023-10-19
T0000128,PP0028320,9658.82,Money Transfer,Bank Transfer,Failed,2024-06-16
T0000129,PP0052758,9673.63,Money Transfer,UPI,Failed,2025-05-31
T0000130,PP0042876,3461.49,Insurance Payment,Scan & Pay,Success,2024-09-07
T0000131,PP0069780,2709.32,Insurance Payment,UPI,Failed,2026-01-11
T0000132,PP0068952,9361.63,Loan payment,UPI,Success,2025-07-04
T0000133,PP0051419,1207.24,Insurance Payment,Bank Transfer,Failed,2025-06-13
T0000134,PP0046889,5658.37,Loan payment,Scan & Pay,Failed,2025-10-06
T0000135,PP0098186,175.09,Recharge Bill,Scan & Pay,Success,2023-11-07
T0000136,PP0015256,5407.38,Money Transfer,Scan & Pay,Pending,2024-05-23
T0000137,PP0003870,8519.04,Recharge Bill,Scan & Pay,Pending,2024-05-04
T0000138,PP0022254,6313.71,Money Transfer,Bank Transfer,Failed,2023-09-25
T0000139,PP0105341,4603.3,Recharge Bill,UPI,Failed,2025-02-13
T0000140,PP0107108,29.57,Loan payment,Scan & Pay,Success,2024-08-25
T0000141,PP0101452,6159.28,Recharge Bill,Scan & Pay,Pending,2023-09-15
T0000142,PP0105635,5755.02,Insurance Payment,UPI,Success,2026-06-02
T0000143,PP0079693,9296.61,Insurance Payment,UPI,Failed,2026-04-06
T0000144,PP0015848,988.04,Insurance Payment,Scan & Pay,Pending,2024-12-10
T0000145,PP0099065,652.1,Insurance Payment,Bank Transfer,Failed,2024-04-02
T0000146,PP0106560,6306.49,Insurance Payment,UPI,Success,2023-09-25
T0000147,PP0001894,815.62,Insurance Payment,UPI,Success,2024-11-23
T0000148,PP0019519,2488.83,Loan payment,Bank Transfer,Success,2024-04-08
T0000149,PP0092163,6311.68,Recharge Bill,UPI,Failed,2026-02-12
T0000150,PP0098758,8813.83,Money Transfer,Scan & Pay,Failed,2026-01-28
T0000151,PP0071867,5004.11,Money Transfer,Scan & Pay,Failed,2024-11-15
T0000152,PP0085357,1591.27,Recharge Bill,UPI,Failed,2024-03-11
T0000153,PP0056373,7571.71,Loan payment,Scan & Pay,Success,2025-12-07
T0000154,PP0084221,6027.5,Insurance Payment,UPI,Pending,2024-04-06
T0000155,PP0029577,6852.5,Money Transfer,UPI,Failed,2026-06-29
T0000156,PP0027182,3048.19,Money Transfer,UPI,Pending,2024-06-22
T0000157,PP0016552,1077.84,Loan payment,UPI,Failed,2023-07-23
T0000158,PP0001633,3229.72,Money Transfer,Bank Transfer,Success,2025-02-08
T0000159,PP0013905,5165.03,Recharge Bill,Scan & Pay,Failed,2024-09-12
T0000160,PP0069352,7520.15,Recharge Bill,Bank Transfer,Failed,2025-10-13
T0000161,PP0034140,9193.42,Money Transfer,Bank Transfer,Failed,2023-10-18
T0000162,PP0010342,1271.75,Loan payment,Scan & Pay,Pending,2026-05-14
T0000163,PP0084914,6691.39,Recharge Bill,UPI,Pending,2024-01-29
T0000164,PP0027757,1355.24,Money Transfer,UPI,Success,2024-10-04
T0000165,PP0079084,1810.1,Recharge Bill,UPI,Success,2023-12-15
T0000166,PP0012981,6797.87,Recharge Bill,Scan & Pay,Failed,2025-02-01
T0000167,PP0002461,7856.46,Recharge Bill,Bank Transfer,Success,2023-11-08
T0000168,PP0064885,7963.17,Loan payment,Bank Transfer,Success,2024-06-13
T0000169,PP0084547,8854.17,Insurance Payment,Bank Transfer,Pending,2023-10-11
T0000170,PP0049050,5495.06,Money Transfer,UPI,Success,2025-08-16
T0000171,PP0064616,7799.56,Loan payment,Bank Transfer,Failed,2025-06-12
T0000172,PP0087538,3994.57,Loan payment,Scan & Pay,Success,2025-05-08
T0000173,PP0109554,5074.29,Recharge Bill,UPI,Failed,2023-10-20
T0000174,PP0000851,2017.45,Recharge Bill,Scan & Pay,Success,2025-02-23
T0000175,PP0039623,7235.84,Money Transfer,UPI,Failed,2025-02-22
T0000176,PP0073903,9640.76,Loan payment,Bank Transfer,Failed,2025-06-12
T0000177,PP0071451,3976.2,Insurance Payment,Bank Transfer,Success,2025-02-24
T0000178,PP0022980,5027.83,Recharge Bill,Bank Transfer,Success,2026-04-12
T0000179,PP0062645,4369.91,Insurance Payment,Scan & Pay,Success,2025-03-07
T0000180,PP0051348,2370.68,Loan payment,UPI,Pending,2023-08-03
T0000181,PP0073834,9887.1,Loan payment,Bank Transfer,Pending,2025-10-09
T0000182,PP0051620,4196.12,Insurance Payment,UPI,Failed,2024-01-02
T0000183,PP0011766,272.9,Recharge Bill,Bank Transfer,Pending,2024-06-22
T0000184,PP0065590,3530.43,Recharge Bill,UPI,Pending,2023-11-18
T0000185,PP0037635,6134.18,Recharge Bill,Scan & Pay,Success,2024-05-01
T0000186,PP0103558,4753.91,Loan payment,Scan & Pay,Success,2023-09-08
T0000187,PP0055495,3841.07,Loan payment,UPI,Pending,2026-02-17
T0000188,PP0106860,7193.8,Insurance Payment,UPI,Failed,2024-07-22
T0000189,PP0020248,6802.83,Money Transfer,Scan & Pay,Success,2025-12-08
T0000190,PP0057753,6976.52,Loan payment,UPI,Failed,2025-09-09
T0000191,PP0091892,6292.91,Insurance Payment,UPI,Success,2025-06-25
T0000192,PP0008948,3978.22,Recharge Bill,Scan & Pay,Pending,2026-03-06
T0000193,PP0069302,2169.83,Recharge Bill,UPI,Success,2025-05-29
T0000194,PP0012705,4733.94,Insurance Payment,UPI,Failed,2023-11-03
T0000195,PP0068624,5215.52,Money Transfer,UPI,Failed,2024-10-26
T0000196,PP0081799,1397.36,Money Transfer,UPI,Failed,2024-07-15
T0000197,PP0053277,2842.21,Loan payment,Bank Transfer,Failed,2025-01-23
T0000198,PP0055316,6894.89,Money Transfer,Scan & Pay,Success,2025-08-16
T0000199,PP0070197,4908.58,Money Transfer,Scan & Pay,Success,2026-01-25
T0000200,PP0086932,4576.4,Money Transfer,UPI,Failed,2025-11-30
T0000201,PP0020724,1824.34,Insurance Payment,Bank Transfer,Failed,2025-03-28
T0000202,PP0038586,5538.01,Money Transfer,Bank Transfer,Failed,2026-03-02
T0000203,PP0073603,1019.87,Recharge Bill,Bank Transfer,Pending,2025-01-28
T0000204,PP0102203,6056.56,Money Transfer,Scan & Pay,Pending,2024-08-17
T0000205,PP0046465,2818.43,Money Transfer,UPI,Success,2024-06-26
T0000206,PP0036692,4910.52,Recharge Bill,Scan & Pay,Failed,2026-02-13
T0000207,PP0088748,9828.61,Recharge Bill,Bank Transfer,Pending,2023-08-16
T0000208,PP0086350,3532.14,Insurance Payment,Bank Transfer,Pending,2024-04-29
T0000209,PP0076279,5243.57,Recharge Bill,Scan & Pay,Pending,2024-05-14
T0000210,PP0061687,6690.8,Insurance Payment,Bank Transfer,Success,2025-01-20
T0000211,PP0052656,693.21,Recharge Bill,UPI,Pending,2026-02-04
T0000212,PP0086207,5868.84,Insurance Payment,UPI,Failed,2024-02-11
T0000213,PP0097791,493.65,Loan payment,UPI,Failed,2025-10-11
T0000214,PP0016689,5216.5,Recharge Bill,Bank Transfer,Pending,2025-01-08
T0000215,PP0067052,3077.54,Insurance Payment,Scan & Pay,Pending,2023-08-01
T0000216,PP0073669,9774.2,Insurance Payment,Scan & Pay,Success,2025-01-09
T0000217,PP0027395,3368.22,Money Transfer,UPI,Success,2025-12-18
T0000218,PP0034989,2744.71,Loan payment,Bank Transfer,Pending,2024-09-24
T0000219,PP0036574,2163.79,Loan payment,UPI,Failed,2024-07-17
T0000220,PP0004517,4391.27,Recharge Bill,Bank Transfer,Pending,2026-04-07
T0000221,PP0076780,3112.51,Insurance Payment,Scan & Pay,Success,2025-06-02
T0000222,PP0092476,4735.12,Money Transfer,Scan & Pay,Pending,2026-04-03
T0000223,PP0091327,736.03,Insurance Payment,Bank Transfer,Success,2024-08-04
T0000224,PP0103093,7661.05,Recharge Bill,UPI,Failed,2026-01-16
T0000225,PP0097377,7368.41,Recharge Bill,Scan & Pay,Pending,2023-11-17
T0000226,PP0097915,9277.79,Recharge Bill,Bank Transfer,Success,2024-03-26
T0000227,PP0080728,4208.02,Insurance Payment,UPI,Success,2025-05-26
T0000228,PP0057205,8392.08,Insurance Payment,UPI,Success,2023-11-18
T0000229,PP0046938,2546.9,Money Transfer,Bank Transfer,Failed,2023-10-13
T0000230,PP0002985,1335.63,Money Transfer,UPI,Pending,2023-10-30
T0000231,PP0032151,4456.29,Insurance Payment,Bank Transfer,Failed,2026-03-02
T0000232,PP0027258,1135.15,Insurance Payment,UPI,Success,2025-11-09
T0000233,PP0074270,2732.52,Money Transfer,Scan & Pay,Success,2023-11-01
T0000234,PP0052572,9369.22,Recharge Bill,UPI,Success,2024-07-20
T0000235,PP0058187,125.9,Insurance Payment,Bank Transfer,Success,2024-06-11
T0000236,PP0026464,5146.03,Money Transfer,UPI,Pending,2025-01-01
T0000237,PP0105559,4197.07,Money Transfer,UPI,Pending,2026-01-15
T0000238,PP0053084,2877.47,Loan payment,UPI,Pending,2024-04-18
T0000239,PP0049893,6248.47,Insurance Payment,Bank Transfer,Success,2026-01-02
T0000240,PP0033843,3350.02,Insurance Payment,Scan & Pay,Pending,2026-05-03
T0000241,PP0084777,4916.55,Money Transfer,Bank Transfer,Success,2025-11-27
T0000242,PP0109981,3336.22,Recharge Bill,Scan & Pay,Pending,2024-09-04
T0000243,PP0094174,3615.86,Insurance Payment,Scan & Pay,Success,2023-12-07
T0000244,PP0001570,3968.72,Recharge Bill,UPI,Failed,2025-11-27
T0000245,PP0095319,9034.86,Loan payment,Scan & Pay,Success,2023-09-06
T0000246,PP0040236,4405.11,Recharge Bill,UPI,Failed,2024-01-28
T0000247,PP0027897,6278.81,Recharge Bill,Bank Transfer,Failed,2026-04-27
T0000248,PP0044678,3139.52,Recharge Bill,Bank Transfer,Pending,2023-09-09
T0000249,PP0040079,5127.3,Loan payment,Scan & Pay,Pending,2026-05-18
T0000250,PP0071964,9594.77,Recharge Bill,Scan & Pay,Pending,2025-08-28
T0000251,PP0027771,1821.66,Insurance Payment,Scan & Pay,Failed,2024-09-28
T0000252,PP0038098,7351.63,Loan payment,Scan & Pay,Pending,2024-08-15
T0000253,PP0040095,3752.74,Insurance Payment,Bank Transfer,Failed,2024-02-18
T0000254,PP0074115,8011.52,Loan payment,Scan & Pay,Success,2024-06-23
T0000255,PP0011138,9576.07,Money Transfer,UPI,Failed,2023-12-25
T0000256,PP0108338,314.4,Money Transfer,UPI,Failed,2023-11-12
T0000257,PP0027121,5477.28,Insurance Payment,Scan & Pay,Success,2025-07-06
T0000258,PP0083643,5180.07,Recharge Bill,Bank Transfer,Failed,2025-12-27
T0000259,PP0066765,269.81,Loan payment,Bank Transfer,Failed,2023-10-23
T0000260,PP0050649,7624.15,Insurance Payment,UPI,Failed,2025-10-21
T0000261,PP0067346,1973.54,Money Transfer,UPI,Pending,2024-09-05
T0000262,PP0092601,2861.19,Recharge Bill,Scan & Pay,Failed,2024-12-27
T0000263,PP0091466,5048.49,Loan payment,UPI,Pending,2025-11-01
T0000264,PP0035473,9469.35,Recharge Bill,UPI,Pending,2025-03-31
T0000265,PP0036113,1802.12,Insurance Payment,UPI,Failed,2024-08-06
T0000266,PP0093931,7845.77,Loan payment,UPI,Failed,2025-12-07
T0000267,PP0043601,5952.36,Money Transfer,UPI,Success,2024-07-17
T0000268,PP0100246,190.62,Money Transfer,UPI,Success,2025-10-23
T0000269,PP0033931,3996.33,Money Transfer,Scan & Pay,Pending,2025-01-03
T0000270,PP0106764,902.03,Loan payment,Bank Transfer,Pending,2026-01-28
T0000271,PP0052309,1180.1,Recharge Bill,Bank Transfer,Success,2023-10-12
T0000272,PP0029664,5353.63,Money Transfer,Scan & Pay,Failed,2026-04-22
T0000273,PP0022613,4204.96,Insurance Payment,Scan & Pay,Pending,2024-11-28
T0000274,PP0012937,982.47,Recharge Bill,Scan & Pay,Success,2024-09-16
T0000275,PP0062636,8024.14,Recharge Bill,UPI,Pending,2025-01-15
T0000276,PP0015431,7920.81,Insurance Payment,Scan & Pay,Pending,2024-02-26
T0000277,PP0041353,3432.52,Loan payment,Bank Transfer,Pending,2025-10-13
T0000278,PP0017481,5099.45,Loan payment,Scan & Pay,Failed,2024-01-06
T0000279,PP0054224,4743.57,Loan payment,UPI,Pending,2025-12-17
T0000280,PP0088779,9953.32,Insurance Payment,Bank Transfer,Success,2023-09-07
T0000281,PP0034776,5730.88,Recharge Bill,Scan & Pay,Failed,2024-01-16
T0000282,PP0087908,5198.46,Loan payment,Scan & Pay,Success,2025-04-15
T0000283,PP0072882,2381.27,Money Transfer,Scan & Pay,Failed,2025-07-04
T0000284,PP0056928,3340.9,Recharge Bill,Scan & Pay,Pending,2023-08-17
T0000285,PP0047811,536.44,Loan payment,UPI,Success,2023-08-08
T0000286,PP0051485,2501.63,Money Transfer,Scan & Pay,Failed,2026-03-29
T0000287,PP0058470,1769.78,Insurance Payment,Scan & Pay,Success,2024-09-22
T0000288,PP0073175,3365.89,Insurance Payment,UPI,Success,2025-01-11
T0000289,PP0073393,7036.19,Recharge Bill,Scan & Pay,Success,2025-07-12
T0000290,PP0099373,3250.47,Recharge Bill,Bank Transfer,Success,2023-11-06
T0000291,PP0108899,5111.86,Recharge Bill,Scan & Pay,Pending,2024-10-20
T0000292,PP0074896,5905.39,Insurance Payment,Scan & Pay,Pending,2026-03-16
T0000293,PP0090254,7805.14,Loan payment,Bank Transfer,Failed,2025-09-26
T0000294,PP0067058,9105.0,Loan payment,Scan & Pay,Success,2024-12-02
T0000295,PP0047919,4098.92,Money Transfer,Scan & Pay,Success,2023-12-15
T0000296,PP0088675,1551.44,Loan payment,Scan & Pay,Failed,2026-01-20
T0000297,PP0067333,4383.95,Money Transfer,UPI,Pending,2023-12-18
T0000298,PP0065248,8190.53,Loan payment,Bank Transfer,Failed,2025-10-24
T0000299,PP0064559,3678.21,Money Transfer,UPI,Pending,2025-04-10
T0000300,PP0009739,1211.86,Money Transfer,UPI,Failed,2026-01-22
T0000301,PP0050839,9018.24,Insurance Payment,UPI,Failed,2025-05-10
T0000302,PP0069845,713.12,Loan payment,Scan & Pay,Pending,2025-05-10
T0000303,PP0039457,8577.5,Insurance Payment,Bank Transfer,Failed,2026-04-09
T0000304,PP0102605,9589.83,Insurance Payment,Scan & Pay,Success,2025-11-26
T0000305,PP0088138,1987.83,Recharge Bill,Bank Transfer,Success,2024-07-17
T0000306,PP0007618,3192.11,Loan payment,Bank Transfer,Failed,2023-09-08
T0000307,PP0018093,5799.23,Loan payment,Scan & Pay,Pending,2024-02-27
T0000308,PP0067715,7532.49,Money Transfer,Bank Transfer,Pending,2024-11-17
T0000309,PP0035042,6139.3,Money Transfer,UPI,Pending,2024-05-22
T0000310,PP0008945,7698.09,Loan payment,UPI,Success,2025-01-13
T0000311,PP0009661,8181.19,Insurance Payment,UPI,Failed,2023-08-28
T0000312,PP0004823,739.88,Recharge Bill,UPI,Failed,2024-11-18
T0000313,PP0017989,258.91,Recharge Bill,Scan & Pay,Pending,2026-03-24
T0000314,PP0047486,5563.6,Money Transfer,Scan & Pay,Pending,2024-07-13
T0000315,PP0028920,6813.74,Recharge Bill,Bank Transfer,Success,2025-01-03
T0000316,PP0031059,5702.12,Money Transfer,UPI,Pending,2025-03-06
T0000317,PP0021433,7843.72,Loan payment,Scan & Pay,Success,2025-07-16
T0000318,PP0065619,374.07,Loan payment,UPI,Failed,2026-02-12
T0000319,PP0079451,7601.83,Loan payment,Bank Transfer,Success,2026-04-18
T0000320,PP0013580,3808.62,Money Transfer,Bank Transfer,Failed,2026-01-03
T0000321,PP0076004,947.94,Insurance Payment,UPI,Pending,2025-04-30
T0000322,PP0085733,3969.73,Recharge Bill,Bank Transfer,Pending,2026-02-09
T0000323,PP0092762,9946.1,Recharge Bill,UPI,Pending,2023-08-17
T0000324,PP0102698,8754.7,Loan payment,Scan & Pay,Failed,2024-07-09
T0000325,PP0109298,446.12,Insurance Payment,Bank Transfer,Failed,2024-08-16
T0000326,PP0100841,1738.59,Loan payment,UPI,Success,2025-03-11
T0000327,PP0050018,5948.74,Recharge Bill,Bank Transfer,Success,2023-08-19
T0000328,PP0001727,2829.41,Recharge Bill,UPI,Failed,2026-07-06
T0000329,PP0054315,5967.72,Loan payment,Scan & Pay,Success,2026-06-08
T0000330,PP0108756,3095.49,Money Transfer,Scan & Pay,Pending,2026-04-15
T0000331,PP0065376,1383.83,Insurance Payment,Scan & Pay,Pending,2023-10-29
T0000332,PP0105417,3961.71,Loan payment,Scan & Pay,Failed,2026-05-17
T0000333,PP0059608,7158.24,Money Transfer,Scan & Pay,Success,2024-11-13
T0000334,PP0037273,1454.05,Loan payment,Bank Transfer,Success,2026-01-14
T0000335,PP0105428,4637.01,Insurance Payment,Bank Transfer,Failed,2025-01-28
T0000336,PP0049015,5305.78,Loan payment,UPI,Success,2023-10-18
T0000337,PP0055101,7219.07,Insurance Payment,UPI,Failed,2024-07-17
T0000338,PP0108412,1764.64,Insurance Payment,Bank Transfer,Failed,2026-06-11
T0000339,PP0048038,1424.61,Insurance Payment,UPI,Failed,2023-08-13
T0000340,PP0061240,4394.6,Money Transfer,UPI,Failed,2026-05-05
T0000341,PP0097443,6176.4,Loan payment,UPI,Success,2025-03-28
T0000342,PP0062620,2230.1,Recharge Bill,Bank Transfer,Pending,2025-10-01
T0000343,PP0006851,7250.96,Loan payment,UPI,Pending,2026-06-22
T0000344,PP0032511,2209.74,Loan payment,Bank Transfer,Pending,2024-12-12
